Engine Speed,Vehicle Speed,Gear
2086.241423,90.561515,4.0
1981.579244,90.516907,4.0
2307.394259,90.471323,4.0
2752.2212,90.430534,4.0
3142.07415,90.416609,4.0
3145.016867,90.518558,4.0
3188.089041,90.62052,4.0
3205.195156,90.734951,4.0
3224.719691,90.853788,4.0
3224.128556,90.977901,4.0
3229.154445,91.100751,4.0
3230.820523,91.224177,4.0
3233.379083,91.347083,4.0
3237.814663,91.469766,4.0
3240.057155,91.592833,4.0
3242.485461,91.715574,4.0
3245.808223,91.838051,4.0
3248.349341,91.960555,4.0
3198.935695,92.082836,4.0
3171.216525,92.188509,4.0
3073.237145,92.282286,4.0
2985.471754,92.33767,4.0
2811.9408,92.358974,4.0
2784.362178,92.344992,4.0
2693.600882,92.327608,4.0
2502.741209,92.301311,4.0
2354.344733,92.263933,4.0
2225.225815,92.22192,4.0
2107.140218,92.177391,4.0
1996.674816,92.131331,4.0
1891.794337,92.084283,4.0
1915.603617,92.036574,4.0
2244.039497,91.989052,4.0
2650.035581,91.945107,4.0
3021.942763,91.916466,4.0
3185.35068,91.954559,4.0
3162.777224,92.056293,4.0
3198.910011,92.148165,4.0
3206.509807,92.253081,4.0
3237.045015,92.359849,4.0
3181.88283,92.475328,4.0
3141.608689,92.570083,4.0
3097.71849,92.647604,4.0
2939.787161,92.707684,4.0
2878.287209,92.71417,4.0
2861.490613,92.708527,4.0
2636.031042,92.70016,4.0
2466.298941,92.66878,4.0
2324.309472,92.629443,4.0
2198.68528,92.586268,4.0
2082.818663,92.540924,4.0
1973.898747,92.494231,4.0
1870.167012,92.446654,4.0
1772.451026,92.398484,4.0
1676.111686,92.349914,4.0
1582.641755,92.301062,4.0
1491.759264,92.252017,4.0
1407.925502,92.202843,4.0
1669.454972,92.153591,4.0
2148.68506,92.104897,4.0
2616.985632,92.059406,4.0
3004.221796,92.028277,4.0
3230.311753,92.058627,4.0
3204.777385,92.174453,4.0
3260.469556,92.281429,4.0
3257.970966,92.404884,4.0
3262.160184,92.526489,4.0
3264.780008,92.648407,4.0
3267.664555,92.770134,4.0
3271.379681,92.891758,4.0
3274.305237,93.013543,4.0
3275.650854,93.135238,4.0
3280.059997,93.256357,4.0
3282.644719,93.377861,4.0
3284.610971,93.49918,4.0
3288.018261,93.620121,4.0
3289.776175,93.741138,4.0
3293.154424,93.861717,4.0
3295.680755,93.982366,4.0
3298.675498,94.10282,4.0
3301.660087,94.223226,4.0
3305.202591,94.343582,4.0
3307.272313,94.46406,4.0
3310.412666,94.584206,4.0
3312.752331,94.704352,4.0
3316.04707,94.824252,4.0
3317.124154,94.944202,4.0
3291.654964,95.063522,4.0
3226.757787,95.172338,4.0
3192.196823,95.253489,4.0
3210.65048,95.320191,4.0
3206.270534,95.393114,4.0
3210.070333,95.463541,4.0
3211.289353,95.534631,4.0
3213.390048,95.605394,4.0
3184.09,95.676171,4.0
3050.795892,95.735526,4.0
3006.825608,95.746699,4.0
3001.635229,95.747832,4.0
2891.598054,95.747908,4.0
2657.907359,95.730501,4.0
2496.179769,95.693913,4.0
2356.997298,95.650933,4.0
2232.109415,95.604627,4.0
2116.45293,95.556369,4.0
2148.339176,95.506871,4.0
2426.627122,95.457739,4.0
2825.235312,95.413202,4.0
3157.291642,95.389582,4.0
3201.347225,95.440362,4.0
3188.938116,95.508427,4.0
3188.03775,95.571293,4.0
3193.066104,95.633203,4.0
3188.662537,95.696244,4.0
3196.96401,95.75711,4.0
3197.068985,95.820255,4.0
3204.063065,95.882791,4.0
3203.901658,95.947157,4.0
3199.03112,96.0108,4.0
3203.310545,96.07209,4.0
3201.546562,96.134248,4.0
3204.106163,96.195168,4.0
3205.331137,96.25636,4.0
3215.045792,96.317361,4.0
3213.761606,96.381137,4.0
3212.134876,96.443808,4.0
3212.302364,96.505278,4.0
3216.796833,96.566142,4.0
3222.276161,96.627996,4.0
3217.633389,96.691136,4.0
3222.239508,96.751841,4.0
3220.047469,96.813711,4.0
3225.745157,96.873761,4.0
3222.247107,96.935618,4.0
3230.204107,96.994923,4.0
3231.636003,97.057107,4.0
3233.914625,97.11916,4.0
3235.770462,97.181379,4.0
3231.853578,97.243614,4.0
3237.40092,97.303044,4.0
